Parcela,Npies_10,Npies_15,Npies_20,Npies_25,Npies_30,Npies_35,Npies_40,Npies_45,Npies_50,Npies_55,Npies_60,Npies_65,Npies_70
1,113.1765838,42.44121891,0,0,0,0,0,0,0,0,0,0,0
2,70.73536485,63.66182837,56.58829188,35.36768243,42.44121891,0,0,0,0,0,0,0,0
3,84.88243782,42.44121891,28.29414594,0,42.44121891,0,0,0,0,0,0,0,0
4,63.66182837,0,56.58829188,0,0,0,0,0,0,0,0,0,0
5,70.73536485,84.88243782,28.29414594,0,0,0,0,0,0,0,0,0,0
6,70.73536485,42.44121891,28.29414594,0,0,28.29414594,0,0,0,0,0,0,0
7,84.88243782,84.88243782,56.58829188,0,42.44121891,28.29414594,0,0,0,0,0,0,0
8,91.95597431,84.88243782,28.29414594,0,42.44121891,0,0,0,0,0,0,0,0
9,84.88243782,84.88243782,28.29414594,35.36768243,0,0,0,0,0,0,0,0,0
10,56.58829188,63.66182837,0,35.36768243,42.44121891,0,0,0,0,77.80890134,0,0,0
11,141.4707297,0,0,0,0,0,0,0,0,0,0,0,0
12,113.1765838,21.22060946,0,0,0,28.29414594,0,0,0,0,0,0,0
13,84.88243782,63.66182837,28.29414594,35.36768243,0,28.29414594,0,0,0,0,0,0,0
14,42.44121891,63.66182837,0,0,42.44121891,0,0,0,70.73536485,0,0,0,0
15,99.02951079,84.88243782,0,0,0,0,0,0,70.73536485,0,0,0,0
16,77.80890134,84.88243782,28.29414594,70.73536485,0,0,56.58829188,0,0,0,0,0,0
17,99.02951079,21.22060946,28.29414594,35.36768243,0,0,0,0,0,0,0,0,0
18,70.73536485,63.66182837,56.58829188,0,0,0,56.58829188,0,0,0,0,0,0
19,99.02951079,63.66182837,56.58829188,0,0,0,0,0,0,0,0,0,0
20,113.1765838,42.44121891,0,0,42.44121891,0,0,0,0,0,0,0,0
21,99.02951079,84.88243782,28.29414594,35.36768243,0,0,0,0,0,0,0,0,0
22,77.80890134,84.88243782,28.29414594,0,0,0,0,0,0,0,0,0,0
23,42.44121891,42.44121891,0,0,0,0,0,0,0,0,0,0,0
24,70.73536485,21.22060946,0,70.73536485,0,0,0,0,0,0,0,0,0
25,91.95597431,84.88243782,56.58829188,0,0,0,0,0,0,0,0,0,0
26,99.02951079,84.88243782,56.58829188,0,42.44121891,0,0,0,0,0,0,0,0
27,91.95597431,106.1030473,28.29414594,70.73536485,42.44121891,0,56.58829188,0,0,0,0,0,0
28,120.2501203,0,28.29414594,35.36768243,42.44121891,28.29414594,0,63.66182837,0,0,0,0,0
29,113.1765838,42.44121891,28.29414594,0,84.88243782,49.5147554,0,0,0,0,0,0,0
30,70.73536485,21.22060946,84.88243782,35.36768243,0,0,0,0,0,0,0,0,0
31,99.02951079,42.44121891,56.58829188,35.36768243,0,0,0,0,0,0,0,0,0
32,70.73536485,0,0,70.73536485,0,0,0,0,0,0,0,0,0
33,99.02951079,63.66182837,84.88243782,35.36768243,0,0,0,0,0,0,0,0,0
34,91.95597431,42.44121891,28.29414594,35.36768243,0,0,0,0,0,0,0,0,0
35,113.1765838,42.44121891,56.58829188,0,0,0,0,0,0,0,0,0,0
36,127.3236567,42.44121891,28.29414594,35.36768243,0,0,0,56.58829188,0,0,0,0,0
37,77.80890134,84.88243782,0,0,0,49.5147554,0,0,0,0,0,0,0
38,84.88243782,63.66182837,28.29414594,0,0,0,0,0,0,0,0,0,0
39,84.88243782,21.22060946,0,0,42.44121891,0,0,0,0,0,0,0,0
40,84.88243782,84.88243782,0,0,0,0,0,0,0,0,0,0,0
41,113.1765838,0,28.29414594,70.73536485,0,0,0,0,0,0,0,0,0
42,99.02951079,42.44121891,28.29414594,0,0,49.5147554,0,0,0,0,0,0,0
43,99.02951079,63.66182837,56.58829188,0,0,0,0,28.29414594,0,0,0,0,0
44,113.1765838,42.44121891,28.29414594,0,0,0,0,0,0,0,0,0,0
45,99.02951079,21.22060946,0,0,0,0,0,0,0,0,0,0,0
46,84.88243782,42.44121891,0,35.36768243,42.44121891,0,0,0,0,0,0,0,0
47,113.1765838,42.44121891,0,0,42.44121891,0,0,0,0,0,0,0,0
48,127.3236567,63.66182837,0,0,0,0,0,0,0,0,0,0,0
49,120.2501203,127.3236567,0,0,0,49.5147554,0,0,0,0,0,0,0
50,91.95597431,42.44121891,56.58829188,35.36768243,0,0,0,0,0,0,0,0,0
51,113.1765838,106.1030473,28.29414594,0,42.44121891,0,0,0,0,0,0,0,0
52,113.1765838,21.22060946,56.58829188,0,0,0,0,0,0,0,0,0,0
53,113.1765838,63.66182837,28.29414594,0,42.44121891,0,0,0,0,0,0,0,0
54,70.73536485,84.88243782,28.29414594,0,0,49.5147554,0,0,0,0,0,0,0
55,84.88243782,84.88243782,28.29414594,35.36768243,0,0,0,0,0,0,0,0,0
56,120.2501203,42.44121891,56.58829188,0,0,0,0,0,0,0,0,0,0
57,84.88243782,42.44121891,56.58829188,70.73536485,0,0,0,0,0,0,0,0,0
58,106.1030473,42.44121891,0,0,0,0,0,0,0,0,0,0,0
59,70.73536485,63.66182837,56.58829188,70.73536485,0,99.02951079,0,28.29414594,0,0,0,0,0
60,70.73536485,21.22060946,56.58829188,0,0,0,56.58829188,0,0,0,0,0,0
61,42.44121891,63.66182837,56.58829188,0,0,0,56.58829188,0,0,0,0,0,0
