Parcela,CD_10,CD_15,CD_20,CD_25,CD_30,CD_35,CD_40,CD_45,CD_50,CD_55,CD_60,CD_65,CD_70
1,37.67,0.00,18.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,18.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,75.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,18.83,18.83,0.00,0.00,0.00,18.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,18.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.09,5.09,0.00,0.00,0.00,0.00
7,0.00,18.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,75.34,131.84,188.35,207.18,75.34,37.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,18.83,18.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,18.83,18.83,56.50,18.83,0.00,37.67,0.00,18.83,0.00,0.00,0.00,0.00,0.00
11,0.00,0.00,18.83,18.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0.00,0.00,0.00,18.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.83,0.00,0.00,0.00,0.00,0.00
14,37.67,113.01,37.67,75.34,18.83,113.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,37.67,56.50,75.34,75.34,18.83,37.67,0.00,0.00,0.00,0.00,18.83,0.00,0.00
16,0.00,0.00,75.34,18.83,37.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,18.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.83,0.00,0.00,0.00
19,0.00,0.00,37.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
